2023-10-18T13:43:20.429132Z  INFO term: starting
2023-10-18T13:43:45.819782Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.853859Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.871388Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.920554Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:45.987241Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:46.755187Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:46.862946Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.055984Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.089954Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.223893Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.306169Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.406469Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.491622Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.539963Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.656260Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.691348Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.857273Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:43:47.906265Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.047831Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.089442Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.122513Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.155818Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.172234Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.205864Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.223475Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.239190Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.255813Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.272778Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.306425Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.322920Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.339655Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.356058Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.373022Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.389316Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.407240Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.422953Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.439990Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.456714Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.473194Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.491289Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.507012Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.523933Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.539844Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.557689Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.573668Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.589869Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.608570Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:31.642574Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.776340Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.791936Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.809857Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.842394Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.859055Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.892619Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.926151Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.942440Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.958778Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:32.991981Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:33.010313Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:33.042944Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:33.093003Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:33.125934Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:33.177128Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:34.597396Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
2023-10-18T13:44:34.691432Z TRACE tt_rust::ui::glyph::frame: write box on Rect { x: 0, y: 0, w: 140, h: 23 }
